ID,hr,pt,sc,delta_hr,delta_pt,delta_sc,time,UserType,,,,
gw7921,104.9023952,81.40033968,0.245271429,3.75,-8.36,-4.55,491.115,mobile,,,,
gw8243,60.74003945,73.97759341,4.469948944,-18.42,-2.31,3.165,461.48,mobile,,,,
gw5920,68.10786145,79.91130945,3.399224794,16.43,1.59,0.365,361.63,mobile,,,,
gw4571,73.1804737,88.60044944,3.41133427,10.17,-13.11,-3.61,350.71,mobile,,,,
gw9130,63.29235787,91.26055394,2.905513848,-3.67,-1.24,0.77,347.66,mobile,,,,
gw1986,65.98301217,78.70450304,1.722809331,90.93,-4.08,-2.07,342.675,mobile,,,,
gw8243,76.06953975,77.52084379,3.147873082,29.5,-1.3,-3.4,316.275,mobile,,,,
gw2674,79.14719346,93.65640327,1.321006471,28.82,-15.68,-1.23,310.745,mobile,,,,
gw5920,71.75719402,84.82682893,4.346522949,22.02,1.19,4.505,309.825,mobile,,,,
gw8402,69.12875058,86.02101076,1.481139448,-5.62,-1.29,-0.545,298.645,mobile,,,,
gw2674,75.07576189,93.19014419,1.352030398,-20.87,-7.16,0.07,295.46,mobile,,,,
gw8402,74.00366836,88.53975788,2.295182995,1.47,-1.63,-0.09,269.265,mobile,,,,
gw9130,69.72543898,90.07647708,3.855690226,-31.55,-2.8,-1.865,260.79,mobile,,,,
gw8243,86.28605855,80.64908782,2.820941875,81.64,-3.06,0,260.13,mobile,,,,
gw4614,80.42219941,91.01242168,2.253890771,-10.19,0,-0.08,258.74,mobile,,,,
gw2674,77.26335462,89.48595299,2.02796372,8.4,-12.41,-0.03,256.86,mobile,,,,
gw3336,81.78779902,90.05441289,2.627512288,-80.54,-19.53,-3.45,255.555,mobile,,,,
gw3083,96.5413807,93.69893527,6.985172348,4.22,-1.62,0.33,250.37,mobile,,,,
gw4110,78.69217065,84.6914998,1.808929874,-1.23,-6.03,-0.205,248.22,mobile,,,,
gw7921,86.9836396,84.82961072,4.092756383,14.31,1.3,3.705,248.065,mobile,,,,
gw2778,71.63448576,81.43081929,1.046891342,-2.97,0.35,0.08,247.835,mobile,,,,
gw7408,62.46060389,92.20657103,6.491082832,5.585,-2.43,0.96,244.405,mobile,,,,
gw5920,68.80970887,76.36733243,3.293845633,0.92,0.07,-0.075,244.26,mobile,,,,
gw2674,74.28441615,92.53706872,2.935389236,-17.48,-1.28,-0.76,236.6,mobile,,,,
gw6297,61.66684678,92.18708777,2.068921867,33.65,-1.53,-1.065,236.505,mobile,,,,
gw4571,91.04144583,77.702525,2.972822917,-47.175,-0.61,-0.865,235.835,mobile,,,,
gw8993,89.4353518,70.98055389,0,-11.06,-0.19,0,234.975,mobile,,,,
gw8993,58.46553186,89.38302916,5.332340713,-3.52,-0.49,-2.065,232.36,mobile,,,,
gw8630,70.30579024,85.59923902,2.356226829,38.14,1.43,-0.03,227.3,mobile,,,,
gw8243,72.0040261,73.25769804,2.141738117,-18.3,-0.18,-0.37,227.14,mobile,,,,
gw4614,69.51757251,91.95593232,2.56406768,1.09,-1.35,0.3,225.455,mobile,,,,
gw8243,83.64394492,76.74515021,3.794996423,15.84,-0.38,-1.22,219.395,mobile,,,,
gw8630,63.56471616,88.21096555,1.649451722,-1.74,0.38,-0.1,218.995,mobile,,,,
gw2426,71.29480704,87.31213961,1.923751419,9.6,-1.63,0.295,212.305,mobile,,,,
gw2778,76.02619284,80.33400152,2.687698171,8.53,0.3,-0.025,212.27,mobile,,,,
gw7921,72.49108118,79.1077786,2.012309963,-1.81,-0.13,-0.74,210.13,mobile,,,,
gw1530,55.70472448,83.00244208,5.971095805,7.65,0.07,7.305,209.105,mobile,,,,
gw9315,109.5785107,91.93798226,7.986633407,-15.215,-0.23,-0.925,208.055,mobile,,,,
gw8243,82.13671963,80.24343302,3.800728972,37.73,5.91,0,207.035,mobile,,,,
gw5016,77.27194419,79.93655535,6.57547118,16.99,-0.32,-0.66,205.625,mobile,,,,
gw5016,73.32450073,81.39190453,4.538619094,39.72,0.09,-1.455,204.41,mobile,,,,
gw8861,57.83263003,90.29432777,3.038910697,4.44,-1.05,-0.8,197.5,mobile,,,,
gw4614,67.92249817,75.75346238,1.138845873,-6.58,-0.16,0.055,197.26,mobile,,,,
gw8861,60.33985306,90.97565911,2.533001679,2.25,-2.12,-0.215,194.74,mobile,,,,
gw6246,84.97992336,79.95767442,3.65127907,-40.335,-0.16,0.435,193.315,mobile,,,,
gw4614,63.28470238,85.07963033,2.109530075,49.17,-5.98,-1.94,191.17,mobile,,,,
gw8993,82.61584769,86.48644803,4.362184547,7.98,0.36,2.985,188.565,mobile,,,,
gw2674,76.36952855,95.32514608,1.17187915,18.8,-0.36,-0.08,187.385,mobile,,,,
gw2853,57.90487131,88.13666919,1.520582892,-6.03,-1.68,-0.485,187.1,mobile,,,,
gw8243,63.37951011,75.37254109,3.611428571,9.37,0.07,-0.485,186.715,mobile,,,,
gw8993,98.80384309,71.24678191,0,22.105,-0.13,0,184.3,mobile,,,,
gw6246,91.57091717,75.13246415,3.346036093,-47.54,-0.1,-0.105,183.345,mobile,,,,
gw7921,91.10954366,89.8180893,7.270325016,6.31,-2.99,-2.095,181.64,mobile,,,,
gw4571,69.91360522,89.91221316,4.045674279,18.12,-0.23,-0.27,181.13,mobile,,,,
gw5016,76.61703724,80.88371851,6.868483023,1.94,0.83,0.355,180.915,mobile,,,,
gw7921,72.93317272,82.89767235,5.652616753,-16.38,-0.99,-1.285,180.07,mobile,,,,
gw4614,65.48540395,80.47491921,1.796808797,9.5,0.07,-0.47,179.405,mobile,,,,
gw7810,61.93801533,79.11891188,2.206969349,17.585,0.24,-0.34,179.205,mobile,,,,
gw9315,89.75017705,80.36322344,3.164697802,3.24,-0.12,-1.54,176.01,mobile,,,,
gw7810,64.40753021,77.93916844,2.751066098,8.49,-0.02,0.245,175.355,mobile,,,,
gw8993,55.57384753,80.69153901,2.116002147,7.865,-0.07,-0.355,175.095,mobile,,,,
gw7810,60.32045263,79.54676491,2.991270175,-8.25,-0.75,0.225,174.1,mobile,,,,
gw4110,71.31984837,90.74756657,1.683857249,1.43,-3.75,-0.265,173.85,mobile,,,,
gw8402,66.95041209,85.55072527,1.486082418,0.73,-0.7,-0.23,172.16,mobile,,,,
gw3336,76.75298246,89.80316764,1.396354776,-1.595,-2.34,-1.18,171.425,mobile,,,,
gw8630,68.36514685,90.78987413,2.779972028,17.7,0.93,0.895,167.085,mobile,,,,
gw6246,85.2198679,81.39456407,4.190472259,-42.44,-0.72,-0.555,166.14,mobile,,,,
gw2778,75.0546608,89.0280067,1.765770519,11.13,-5.69,-0.36,159.13,mobile,,,,
gw5920,77.80983871,74.05543779,4.483467742,87.28,-2.43,-4.47,158.67,mobile,,,,
gw2778,77.31545953,86.09630691,1.218052277,-4.69,-1.58,-0.43,157.29,mobile,,,,
gw4110,73.84995084,75.05286517,0.960702247,6.45,-1.41,0.04,156.725,mobile,,,,
gw2778,83.09698499,92.16897415,1.79735196,-15.18,-0.48,-0.48,152.205,mobile,,,,
gw2674,87.73430556,81.02137205,1.667714646,71.79,-4.02,-2.19,151.915,mobile,,,,
gw7408,66.70242687,74.62106176,3.161516793,11.74,-0.03,-0.16,144.2,mobile,,,,
gw2674,75.88280739,94.79728289,1.941147893,5.05,-0.92,0.77,143.48,mobile,,,,
gw7408,62.31741276,85.12842359,1.867803851,-6.7,-1.59,-0.27,139.905,mobile,,,,
gw6297,133.1323461,75.60410871,0,25.31,-1.04,0,135.705,mobile,,,,
gw6297,64.44404605,78.4739693,1.718514254,13.26,-3.15,-0.54,133.15,mobile,,,,
gw3336,75.19851201,92.31092421,4.535277264,10.17,-0.41,-0.51,123.23,mobile,,,,
gw2778,79.2018304,86.01811789,1.722916236,6,-0.59,-0.255,121.66,mobile,,,,
gw1986,81.45002011,85.13690349,1.589617962,31.21,-2.32,0,116.525,mobile,,,,
gw8993,57.19030079,85.80628831,3.212922815,7.21,0.43,-1.725,116.495,mobile,,,,
gw6297,61.99727492,81.78808682,2.490297428,5.1,-0.32,-0.15,113.505,mobile,,,,
gw2674,72.97099063,92.50714859,3.41,25.28,-0.52,0.72,111.185,mobile,,,,
gw2778,70.03387268,87.18976127,0.795212202,9.32,0.04,-0.575,111.16,mobile,,,,
gw2853,117.5584497,77.71671458,0,-57.76,-1,0,110.175,mobile,,,,
gw6297,71.27168052,92.80668646,2.456187648,6.59,-0.33,0.145,109.735,mobile,,,,
gw2426,59.47751748,86.55212587,0.466034965,16.395,-3.76,-0.52,107.58,mobile,,,,
gw2426,72.66479412,90.10186765,0.874875,8.085,-0.95,-0.07,102.225,mobile,,,,
gw8993,102.7595276,89.00313725,2.256675579,59.385,-6.77,-3.3,97.06,mobile,,,,
gw8243,66.69259602,76.57516358,3.432219061,-12.15,-0.21,-0.56,96.86,mobile,,,,
gw2778,74.04505944,89.69221397,1.750081724,-4.29,-1.48,-1.185,96.37,mobile,,,,
gw7408,73.66523077,76.08072527,1.590450549,3.64,-0.17,-0.07,88.035,mobile,,,,
gw7921,80.24879167,84.00070833,5.3779375,20.88,-0.13,0.025,83.045,mobile,,,,
gw2778,58.92797101,80.42414493,2.391594203,-25.91,-0.07,-0.7,78.11,mobile,,,,
gw1986,60.23224675,83.16418182,2.32325974,-2.55,-0.84,-0.11,74.215,mobile,,,,
gw2255,65.93257,94.4375,6.12881,-2.25,-0.28,-0.82,71.97,mobile,,,,
gw9315,133.6743282,78.13299742,0,-18.92,0.13,0,71.47,mobile,,,,
gw1501,74.49677468,94.12822856,3.710744221,-13.13,-2.15,1.98,416.595,vr,,,,
gw9674,87.41553377,80.4957786,3.122005106,3.49,1.02,-0.48,392.955,vr,,,,
gw6246,77.89763305,86.41147673,4.08341878,-4.47,0.85,-2.59,343.195,vr,,,,
gw3336,80.40520972,78.53590793,0.662099744,115.185,1.13,-0.93,320.615,vr,,,,
gw1530,62.99884264,86.96396495,11.81540526,-13.225,-4.57,-5.775,316.885,vr,,,,
gw8443,69.33378578,91.27134503,5.662237612,-6.72,1.05,-1.605,308.675,vr,,,,
gw7810,59.89560666,76.84843173,2.733873597,-1.98,-0.13,1.58,303.96,vr,,,,
gw2109,86.80583821,94.09410767,3.509204213,25.07,4.16,3.585,290.475,vr,,,,
gw5920,66.90131859,85.62570844,3.831541769,8.88,-7.9,-5.505,274.215,vr,,,,
gw5016,79.67451903,84.88840652,4.627860728,-37.21,0.47,-0.805,271.855,vr,,,,
gw4110,87.330598,89.67565512,2.137511603,-12.435,0.14,-0.01,271.31,vr,,,,
gw9905,64.56633333,89.49017255,2.989747059,-6.235,-2.56,0.53,267.28,vr,,,,
gw8443,70.96078381,91.96658915,3.861679587,-0.61,-0.96,-0.265,263.98,vr,,,,
gw9905,68.66276755,89.38728284,3.810227589,1.05,1.01,1.285,262.47,vr,,,,
gw3346,62.83178555,86.12848897,1.920598311,9.89,0.78,-0.01,259.46,vr,,,,
gw5016,80.04724885,76.28186328,4.229841601,-14.6,-0.28,-0.3,257.19,vr,,,,
gw3039,69.90149422,77.17992122,0.927481618,-1.45,-0.38,-0.175,254.44,vr,,,,
gw5016,75.48687446,82.15480384,5.488729294,-10.3,0.98,1.245,253.645,vr,,,,
gw2255,68.42911497,92.96272539,4.310479735,-1.5,-2.22,0.725,249.815,vr,,,,
gw2972,69.76322338,94.1533576,4.114215196,2.97,-1.79,0.13,248.92,vr,,,,
gw1501,85.53584346,94.83107551,2.219075506,-2.09,-2.52,0.075,247.785,vr,,,,
gw2972,60.06408479,93.99689768,5.085440277,-9.58,-1.77,0.21,247.665,vr,,,,
gw2972,64.67958316,93.49106776,1.281422998,-3.945,-0.7,0.17,239.615,vr,,,,
gw3893,55.61070374,86.89670005,1.095838166,10.81,-0.59,0.025,239.155,vr,,,,
gw3709,53.50398961,91.82037403,2.444524675,17.36,-0.34,2.54,235.33,vr,,,,
gw7810,57.48007754,77.42891946,3.463586793,22.27,-0.31,-0.025,233.985,vr,,,,
gw8630,70.8532337,89.72375418,2.952121656,-1.89,0.69,-1.725,229.195,vr,,,,
gw9905,61.73166592,84.61086099,2.482195067,1.51,-4.9,1.23,228.45,vr,,,,
gw8402,52.46037577,77.2477005,1.391727426,-15.2,-0.06,-0.895,228.425,vr,,,,
gw8630,64.11424114,87.39257246,3.443677536,10.13,1.44,0.375,224.725,vr,,,,
gw4614,79.52854942,90.82123877,2.358382542,31.14,-7.06,0.555,221.76,vr,,,,
gw3709,66.36681314,88.44532858,1.500091053,-0.175,-3.6,-0.135,217.935,vr,,,,
gw5016,68.72781306,76.56476465,4.141896092,-18.17,-0.29,-0.06,214.965,vr,,,,
gw9846,62.56840179,89.9190258,2.488183254,32.53,-4.34,0.115,209.24,vr,,,,
gw2972,71.06987235,94.26412813,5.934381021,-11.95,-0.22,-1.785,208.605,vr,,,,
gw1530,71.90848086,91.58868421,5.356594896,14.84,-0.25,1.2,208.57,vr,,,,
gw8443,70.50173145,90.89872792,4.369031213,1.92,-1.17,-0.43,207.585,vr,,,,
gw8630,74.93171215,81.99049383,1.993654971,6.59,-0.61,-0.13,206.385,vr,,,,
gw8630,63.75043882,82.46393908,1.372183789,-6.385,0.25,-0.15,204.67,vr,,,,
gw7408,75.49598131,90.94278217,3.871337168,6.52,-0.59,-0.66,200.005,vr,,,,
gw8630,65.68278672,89.01816295,3.473757135,-0.11,1.01,-0.06,197.065,vr,,,,
gw8630,63.10984447,85.57288551,2.287918597,-2.765,2.34,2.225,196.46,vr,,,,
gw8402,58.3591649,78.50978858,1.650628964,13.14,-0.3,-0.71,196.155,vr,,,,
gw8443,57.61505177,87.86520706,3.838934227,0.51,0.57,-0.26,195.58,vr,,,,
gw1530,80.42371747,82.37002478,8.595213755,-7.8,-5.04,0.2,194.615,vr,,,,
gw6246,97.92698305,89.53086441,2.730935028,-48.42,-0.54,1.4,194.49,vr,,,,
gw8443,72.2917842,85.1426299,3.663992577,-19.525,0.25,-0.7,193.09,vr,,,,
gw5016,74.59872346,77.19134458,4.576777354,-30.73,-1.28,0.06,192.86,vr,,,,
gw1530,81.30470085,91.32908832,6.033008547,-27.88,-4.21,1.14,192.585,vr,,,,
gw2109,85.03959759,92.07,3.569609158,-7.26,-14.11,-4.12,192.245,vr,,,,
gw9315,108.9921433,88.45952233,4.532276675,6.755,1.8,4.6,190.985,vr,,,,
gw8630,77.46469059,90.31838794,2.210208008,-3.805,-0.28,-0.81,190.98,vr,,,,
gw3039,77.50448276,80.24194153,1.727638681,-14.96,0.3,-0.14,190.055,vr,,,,
gw8443,68.73921447,90.09352455,4.399643411,-2.88,1.19,-2.205,190.01,vr,,,,
gw3039,73.11125084,80.42975051,1.119359407,-7.59,-0.23,-0.315,187.725,vr,,,,
gw5016,73.4202096,81.16376724,5.86070877,8.49,0.47,1.55,186.975,vr,,,,
gw9315,101.7316245,80.35649086,3.404433896,-32,-0.63,-0.915,186.585,vr,,,,
gw1530,73.82263386,93.8336665,4.716007139,49.97,-1.83,0.355,186.325,vr,,,,
gw3709,65.64074544,91.584375,1.829996745,0.27,-0.69,0.27,185.635,vr,,,,
gw1501,73.83755417,80.68047275,1.802403152,-11.67,-3.2,0.26,185.15,vr,,,,
gw7810,69.59384337,72.9996544,2.273846154,-0.85,-0.59,-0.06,184.58,vr,,,,
gw9315,106.826697,88.48927828,3.365370611,-32.825,-5.98,-4.445,184.57,vr,,,,
gw9905,60.90154182,76.90466393,1.876816316,7.85,0.52,0.77,184.035,vr,,,,
gw9674,108.6544372,88.51317516,3.805527511,-67.125,1.77,-0.165,182.245,vr,,,,
gw8630,65.45990625,90.1563625,2.98538125,7.62,0.93,-0.715,181.915,vr,,,,
gw7408,68.58545606,78.7307564,4.73881535,-5.85,-0.19,-0.85,181.875,vr,,,,
gw6246,83.61661976,81.59107984,3.331174612,10.81,0.09,-1.87,179.225,vr,,,,
gw9846,75.08666046,83.68248914,1.803743017,24.3,0.55,0.09,178.965,vr,,,,
gw1501,77.08250314,85.0370389,2.208262233,-22.44,-3.99,0.635,178.305,vr,,,,
gw1501,73.49089492,94.6977194,3.738888568,-17.935,0.11,0.77,177.51,vr,,,,
gw9905,70.11687939,91.65409251,1.899192037,5.78,-2.8,0.635,176.85,vr,,,,
gw2109,82.44253607,91.97125416,4.676107103,9.565,-0.92,-0.075,176.515,vr,,,,
gw1501,79.82133923,92.21536955,1.670631712,-41.98,-6.28,-0.12,176.365,vr,,,,
gw3709,65.23206046,87.86559268,1.258910103,-5.14,-0.77,0.02,176.335,vr,,,,
gw2255,65.99826117,94.76826117,5.070388316,-10.78,-0.28,1.35,175.855,vr,,,,
gw8630,59.44482129,87.98798253,3.012025417,35.61,0.73,-0.57,175.225,vr,,,,
gw3039,73.1761339,80.43068758,1.422828709,-8.28,0.09,0.08,175.155,vr,,,,
gw9846,62.0276491,82.37320388,2.592454924,32.72,0.43,-0.125,174.9,vr,,,,
gw3709,68.14459708,89.47452034,1.569520338,-6.15,-1.59,0.11,174.67,vr,,,,
gw1501,78.13330759,91.09082606,1.89616857,-15.175,-1.87,0.44,174.07,vr,,,,
gw7810,61.5556066,75.57769562,2.482171572,4.54,-0.22,-0.11,174.05,vr,,,,
gw2255,64.29996044,94.02863664,4.508840536,-2.85,-0.89,0.245,173.885,vr,,,,
